sales,order_date,product,customer,country,employee,category
763.01,2001-02-01,Gaming Console,Ultra Tech,Mexico,John Smith,Video Games
322.2,2001-02-01,Monitor HD,Nebula Innovations,Kenya,John Smith,Monitors
166.96,2001-02-01,Desktop Beta,Pinnacle Tech,Canada,Laura Adams,Computers
274.06,2001-02-01,Science Fiction Novel,Infinity Solutions,South Korea,Patricia Brown,Books
16.19,2001-02-02,Gaming Console,Future Gadgets,Mexico,Laura Adams,Video Games
0.61,2001-02-02,Women's Sandals,Tech Trends,Spain,Patricia Brown,Footwear
904.9,2001-02-03,Ergonomic Desk,Nebula Innovations,Nigeria,Laura Adams,Office Furniture
727.65,2001-02-03,Bluetooth Speaker,NextGen Innovators,Italy,John Smith,Audio Equipment
302.01,2001-02-03,Children's Backpack,Ultra Tech,Spain,Michael Davis,School Supplies
989.8,2001-02-03,Bluetooth Speaker,SysTech Ltd.,Kenya,Robert Johnson,Audio Equipment
251.55,2001-02-03,Yoga Mat,SysTech Ltd.,Italy,Linda Miller,Fitness Equipment
125.32,2001-02-03,Leather Office Chair,Elite Tech,Mexico,Linda Miller,Office Furniture
895.53,2001-02-03,Monitor 4K,Ultra Tech,South Africa,Michael Davis,Monitors
821.99,2001-02-03,Landscape Painting,Pioneer Tech,Germany,Sarah Moore,Art
35.45,2001-02-03,Desktop Beta,SysTech Ltd.,Spain,John Smith,Computers
900.89,2001-02-03,Science Fiction Novel,Tech Trends,South Korea,Patricia Brown,Books
422.86,2001-02-03,Hiking Boots,Tech Trends,Canada,Patricia Brown,Outdoor Gear
932.23,2001-02-03,USB Keyboard,Pioneer Tech,Italy,Sarah Moore,Computer Accessories
624.27,2001-02-04,Drone with Camera,Elite Tech,Mexico,Sarah Moore,Electronics
582.94,2001-02-04,Monitor 4K,Ultra Tech,Egypt,William Wilson,Monitors
770.69,2001-02-04,Smartphone Beta,Ultra Tech,South Korea,Robert Johnson,Mobile Devices
832.92,2001-02-04,Dumbbell Set,NextGen Innovators,China,Sarah Moore,Fitness Equipment
361.09,2001-02-04,Smartphone Alpha,Nebula Innovations,Germany,John Smith,Mobile Devices
290.62,2001-02-04,Camping Tent,Elite Tech,USA,Patricia Brown,Outdoor Gear
637.06,2001-02-05,Tablet Beta,Elite Tech,Nigeria,Michael Davis,Mobile Devices
651.23,2001-02-05,Acoustic Piano,Tech Trends,Nigeria,Linda Miller,Musical Instruments
47.78,2001-02-05,Sunglasses,Global Corp,Kenya,Robert Johnson,Fashion Accessories
580.67,2001-02-05,Cat Litter Box,Infinity Solutions,Egypt,Sarah Moore,Pet Supplies
762.28,2001-02-05,Virtual Reality Headset,NextGen Innovators,India,William Wilson,Electronics
790.09,2001-02-05,Video Game Controller,Elite Tech,China,Sarah Moore,Video Games
580.32,2001-02-06,Men's Sneakers,Infinity Solutions,Germany,Sandra Anderson,Footwear
469.64,2001-02-06,Sculpture,Global Corp,USA,Sandra Anderson,Art
583.13,2001-02-06,Electric Guitar,Pioneer Tech,South Korea,Patricia Brown,Musical Instruments
204.61,2001-02-06,Wireless Mouse,Infinity Solutions,India,Sarah Moore,Computer Accessories
701.88,2001-02-06,Women's Sandals,Reboot IT,Spain,William Wilson,Footwear
465.31,2001-02-06,Landscape Painting,Elite Tech,France,William Wilson,Art
119.85,2001-02-06,Solid State Drive,Reboot IT,India,Michael Davis,Storage Devices
285.17,2001-02-06,Smartphone Alpha,Innovate Unlimited,Germany,Patricia Brown,Mobile Devices
236.77,2001-02-06,Sculpture,NextGen Innovators,Nigeria,Sarah Moore,Art
330.95,2001-02-06,Virtual Reality Headset,Global Corp,Egypt,Michael Davis,Electronics
913.59,2001-02-06,Electric Guitar,NextGen Innovators,China,Sandra Anderson,Musical Instruments
750.98,2001-02-06,Women's Sandals,Elite Tech,Mexico,William Wilson,Footwear
524.07,2001-02-07,Video Game Controller,Global Corp,India,Linda Miller,Video Games
5.52,2001-02-07,Video Game Controller,Ultra Tech,Mexico,Robert Johnson,Video Games
524.51,2001-02-07,Stainless Steel Water Bottle,Global Corp,France,William Wilson,Outdoor Gear
350.34,2001-02-08,Electric Guitar,Nebula Innovations,South Africa,Joseph Taylor,Musical Instruments
983.42,2001-02-08,4K Television,Elite Tech,Canada,Robert Johnson,Home Electronics
98.59,2001-02-08,Wristwatch,SysTech Ltd.,China,Robert Johnson,Fashion Accessories
477.2,2001-02-08,Espresso Machine,Nebula Innovations,India,Patricia Brown,Kitchen Appliances
541.1,2001-02-08,Wristwatch,Tech Trends,South Korea,Michael Davis,Fashion Accessories
781.85,2001-02-08,Bluetooth Speaker,Future Gadgets,Japan,Patricia Brown,Audio Equipment
665.91,2001-02-08,Fitness Tracker,Global Corp,Germany,John Smith,Wearables
786.88,2001-02-08,Smart Watch,Gadget Galaxy,Mexico,Linda Miller,Wearables
125.7,2001-02-08,Ergonomic Desk,Nebula Innovations,Egypt,Michael Davis,Office Furniture
479.53,2001-02-08,Cat Litter Box,Innovate Unlimited,Japan,William Wilson,Pet Supplies
737.36,2001-02-08,Smart Watch,Innovate Unlimited,Mexico,Patricia Brown,Wearables
553.6,2001-02-08,Desktop Alpha,Tech Pioneers,Nigeria,Sarah Moore,Computers
570.55,2001-02-09,Cat Litter Box,SysTech Ltd.,USA,Sarah Moore,Pet Supplies
677.8,2001-02-09,Sunglasses,Gadget Galaxy,Mexico,John Smith,Fashion Accessories
640.3,2001-02-09,Virtual Reality Headset,NextGen Innovators,Kenya,Robert Johnson,Electronics
458.22,2001-02-10,Espresso Machine,Global Corp,Mexico,Sarah Moore,Kitchen Appliances
775.34,2001-02-10,Yoga Mat,Future Gadgets,Egypt,Linda Miller,Fitness Equipment
215.74,2001-02-11,Solid State Drive,Tech Pioneers,Mexico,John Smith,Storage Devices
691.28,2001-02-11,Video Game Controller,Future Gadgets,Kenya,Patricia Brown,Video Games
760.35,2001-02-11,Notebook Basic,Future Gadgets,Canada,John Smith,Computers
171.2,2001-02-11,Sculpture,Gadget Galaxy,China,Sandra Anderson,Art
482.51,2001-02-11,Men's Sneakers,Gadget Galaxy,USA,Laura Adams,Footwear
312.41,2001-02-11,Virtual Reality Headset,Tech Pioneers,Germany,Robert Johnson,Electronics
911.59,2001-02-11,Tablet Alpha,SysTech Ltd.,India,Linda Miller,Mobile Devices
445.73,2001-02-11,Smartphone Alpha,SysTech Ltd.,Italy,Laura Adams,Mobile Devices
136.38,2001-02-11,Sculpture,Infinity Solutions,Germany,Patricia Brown,Art
970.1,2001-02-11,Monitor HD,Ultra Tech,Mexico,Joseph Taylor,Monitors
972.92,2001-02-11,Science Fiction Novel,Pinnacle Tech,Italy,Joseph Taylor,Books
621.02,2001-02-11,Smartphone Beta,Nebula Innovations,India,Laura Adams,Mobile Devices
399.48,2001-02-11,4K Television,Ultra Tech,Nigeria,William Wilson,Home Electronics
301.8,2001-02-11,Noise Cancelling Headphones,Tech Trends,India,John Smith,Audio Equipment
86.52,2001-02-11,Tablet Alpha,Nebula Innovations,Spain,Sandra Anderson,Mobile Devices
568.47,2001-02-11,4K Television,Innovate Unlimited,USA,John Smith,Home Electronics
152.89,2001-02-12,Men's Sneakers,Gadget Galaxy,Germany,Patricia Brown,Footwear
286.97,2001-02-12,Dumbbell Set,SysTech Ltd.,Italy,Robert Johnson,Fitness Equipment
522.51,2001-02-12,External Hard Drive,Pinnacle Tech,France,Linda Miller,Storage Devices
122.43,2001-02-12,Biography Book,Tech Pioneers,South Africa,Sandra Anderson,Books
78.11,2001-02-12,Monitor 4K,Global Corp,Canada,Laura Adams,Monitors
228.55,2001-02-12,Video Game Controller,Tech Trends,Japan,Michael Davis,Video Games
811.88,2001-02-12,Wireless Mouse,Infinity Solutions,France,Patricia Brown,Computer Accessories
13.71,2001-02-12,Sculpture,Infinity Solutions,Kenya,Linda Miller,Art
242.89,2001-02-12,4K Television,Reboot IT,Canada,Michael Davis,Home Electronics
438.57,2001-02-13,Wall Art,Elite Tech,Japan,Laura Adams,Home Decor
539.04,2001-02-13,Microwave Oven,Gadget Galaxy,Japan,Patricia Brown,Kitchen Appliances
340.45,2001-02-13,Wristwatch,Ultra Tech,South Korea,John Smith,Fashion Accessories
841.34,2001-02-14,Science Fiction Novel,Nebula Innovations,Brazil,Joseph Taylor,Books
257.61,2001-02-14,Air Purifier,NextGen Innovators,China,Sandra Anderson,Home Appliances
120.95,2001-02-14,Sunglasses,Innovate Unlimited,Brazil,Michael Davis,Fashion Accessories
85.83,2001-02-14,Drone with Camera,Infinity Solutions,Canada,John Smith,Electronics
92.79,2001-02-14,Sunglasses,Innovate Unlimited,China,Patricia Brown,Fashion Accessories
634.84,2001-02-14,Tablet Beta,Innovate Unlimited,China,Laura Adams,Mobile Devices
868.55,2001-02-15,Notebook Basic,Infinity Solutions,South Africa,Sarah Moore,Computers
101.5,2001-02-15,Dumbbell Set,Nebula Innovations,Nigeria,Sarah Moore,Fitness Equipment
491.82,2001-02-15,Microwave Oven,Gadget Galaxy,Kenya,Robert Johnson,Kitchen Appliances
610.7,2001-02-15,Wristwatch,Ultra Tech,Germany,Laura Adams,Fashion Accessories
909.7,2001-02-15,Wireless Mouse,Pinnacle Tech,Japan,Robert Johnson,Computer Accessories
629.09,2001-02-15,Biography Book,Infinity Solutions,Brazil,Robert Johnson,Books
415.22,2001-02-16,Noise Cancelling Headphones,Pioneer Tech,Egypt,Michael Davis,Audio Equipment
141.18,2001-02-16,Fitness Tracker,Reboot IT,South Africa,Laura Adams,Wearables
104.26,2001-02-16,Streaming Media Player,Tech Pioneers,Kenya,Patricia Brown,Home Electronics
577.86,2001-02-16,4K Television,SysTech Ltd.,France,Sarah Moore,Home Electronics
712.75,2001-02-16,Drone with Camera,Innovate Unlimited,India,Linda Miller,Electronics
709.63,2001-02-16,Decorative Throw Pillow,Ultra Tech,South Africa,Sarah Moore,Home Decor
380.18,2001-02-16,Robot Vacuum,Tech Pioneers,Nigeria,Joseph Taylor,Home Appliances
710.28,2001-02-16,Dumbbell Set,SysTech Ltd.,Spain,Michael Davis,Fitness Equipment
113.96,2001-02-16,LED Desk Lamp,Reboot IT,France,Laura Adams,Lighting
625.41,2001-02-16,Noise Cancelling Headphones,Infinity Solutions,Japan,Robert Johnson,Audio Equipment
100.32,2001-02-16,Robot Vacuum,Global Corp,Italy,Sarah Moore,Home Appliances
399.25,2001-02-16,Desktop Beta,Infinity Solutions,China,Robert Johnson,Computers
838.45,2001-02-16,Sculpture,Pinnacle Tech,Egypt,William Wilson,Art
458.99,2001-02-16,Robot Vacuum,Reboot IT,Brazil,Sandra Anderson,Home Appliances
947.58,2001-02-16,Camping Tent,Elite Tech,Canada,Linda Miller,Outdoor Gear
333.68,2001-02-17,Children's Backpack,Future Gadgets,Italy,Sandra Anderson,School Supplies
57.42,2001-02-17,Decorative Throw Pillow,Tech Pioneers,France,William Wilson,Home Decor
966.61,2001-02-17,4K Television,NextGen Innovators,Egypt,Laura Adams,Home Electronics
770.47,2001-02-18,Landscape Painting,Tech Pioneers,South Korea,Sarah Moore,Art
594.32,2001-02-18,Pet Bed,Reboot IT,Nigeria,Michael Davis,Pet Supplies
760.04,2001-02-18,Wall Art,Infinity Solutions,Italy,Laura Adams,Home Decor
429.45,2001-02-19,4K Television,Gadget Galaxy,Nigeria,William Wilson,Home Electronics
58.92,2001-02-19,Cat Litter Box,Nebula Innovations,South Africa,Linda Miller,Pet Supplies
564.66,2001-02-19,Desktop Beta,Pioneer Tech,Japan,Robert Johnson,Computers
292.78,2001-02-19,Biography Book,Innovate Unlimited,Canada,Linda Miller,Books
970.94,2001-02-19,External Hard Drive,Infinity Solutions,Mexico,Sandra Anderson,Storage Devices
553.34,2001-02-19,Wall Art,Gadget Galaxy,India,William Wilson,Home Decor
484.17,2001-02-19,Women's Sandals,Ultra Tech,Mexico,Robert Johnson,Footwear
410.05,2001-02-19,Ergonomic Desk,Gadget Galaxy,China,Laura Adams,Office Furniture
390.72,2001-02-19,Air Purifier,Reboot IT,USA,Sarah Moore,Home Appliances
152.43,2001-02-19,Smart Watch,Innovate Unlimited,South Africa,Sarah Moore,Wearables
161.95,2001-02-19,Pet Bed,Future Gadgets,Italy,Joseph Taylor,Pet Supplies
315.26,2001-02-19,Sunglasses,Pinnacle Tech,China,Michael Davis,Fashion Accessories
435.59,2001-02-19,Electric Guitar,Pioneer Tech,Kenya,Patricia Brown,Musical Instruments
938.14,2001-02-19,Sculpture,Infinity Solutions,Italy,Michael Davis,Art
180.2,2001-02-19,Acoustic Piano,Tech Trends,Nigeria,Linda Miller,Musical Instruments
333.79,2001-02-19,Men's Sneakers,SysTech Ltd.,Spain,Patricia Brown,Footwear
330.54,2001-02-19,Cat Litter Box,NextGen Innovators,Nigeria,Michael Davis,Pet Supplies
464.93,2001-02-20,Dumbbell Set,Ultra Tech,Spain,John Smith,Fitness Equipment
114.88,2001-02-20,Women's Sandals,Infinity Solutions,China,William Wilson,Footwear
555.36,2001-02-21,Dumbbell Set,Gadget Galaxy,Germany,William Wilson,Fitness Equipment
0.26,2001-02-21,Smartphone Beta,Future Gadgets,Egypt,Joseph Taylor,Mobile Devices
275.14,2001-02-21,Ergonomic Desk,Global Corp,Japan,Sarah Moore,Office Furniture
213.63,2001-02-21,Gaming Console,Innovate Unlimited,Canada,Linda Miller,Video Games
730.73,2001-02-21,Gaming Console,Pioneer Tech,Japan,Linda Miller,Video Games
853.4,2001-02-21,Hiking Boots,NextGen Innovators,Mexico,Laura Adams,Outdoor Gear
678.49,2001-02-21,Hiking Boots,Tech Pioneers,South Africa,Linda Miller,Outdoor Gear
621.99,2001-02-21,Children's Backpack,Infinity Solutions,USA,William Wilson,School Supplies
633.97,2001-02-21,Noise Cancelling Headphones,SysTech Ltd.,Mexico,William Wilson,Audio Equipment
220.4,2001-02-21,Yoga Mat,Nebula Innovations,Kenya,Sandra Anderson,Fitness Equipment
636.83,2001-02-21,Notebook Basic,Tech Trends,USA,William Wilson,Computers
657.07,2001-02-21,Bluetooth Speaker,Infinity Solutions,Spain,William Wilson,Audio Equipment
205.19,2001-02-21,Acoustic Piano,Reboot IT,Italy,Sandra Anderson,Musical Instruments
420.96,2001-02-21,Solid State Drive,Pinnacle Tech,Nigeria,William Wilson,Storage Devices
476.04,2001-02-21,Science Fiction Novel,Ultra Tech,South Africa,Linda Miller,Books
26.24,2001-02-22,Children's Backpack,Pinnacle Tech,France,Sarah Moore,School Supplies
311.4,2001-02-22,Drone with Camera,Pioneer Tech,China,Patricia Brown,Electronics
530.4,2001-02-22,Stainless Steel Water Bottle,Infinity Solutions,China,Sandra Anderson,Outdoor Gear
796.31,2001-02-22,Sculpture,NextGen Innovators,Kenya,William Wilson,Art
719.9,2001-02-22,Camping Tent,Reboot IT,Mexico,Laura Adams,Outdoor Gear
912.88,2001-02-22,Stainless Steel Water Bottle,Pinnacle Tech,Japan,William Wilson,Outdoor Gear
683.5,2001-02-22,Notebook Basic,Infinity Solutions,Spain,William Wilson,Computers
133.91,2001-02-22,Leather Office Chair,SysTech Ltd.,South Africa,Linda Miller,Office Furniture
19.93,2001-02-22,LED Desk Lamp,NextGen Innovators,Egypt,Laura Adams,Lighting
531.49,2001-02-22,Ergonomic Desk,Ultra Tech,Japan,Laura Adams,Office Furniture
876.49,2001-02-22,Yoga Mat,Tech Trends,Canada,Laura Adams,Fitness Equipment
692.51,2001-02-23,Men's Sneakers,NextGen Innovators,Japan,Michael Davis,Footwear
214.76,2001-02-23,External Hard Drive,Infinity Solutions,Kenya,Linda Miller,Storage Devices
765.24,2001-02-24,Women's Sandals,Infinity Solutions,Brazil,John Smith,Footwear
222.23,2001-02-24,Streaming Media Player,Tech Trends,France,Laura Adams,Home Electronics
650.18,2001-02-24,Fitness Tracker,Elite Tech,Brazil,Patricia Brown,Wearables
826.95,2001-02-24,Hiking Boots,Pioneer Tech,France,Sandra Anderson,Outdoor Gear
639.46,2001-02-24,Cat Litter Box,Global Corp,Canada,Sandra Anderson,Pet Supplies
925.46,2001-02-24,Electric Guitar,NextGen Innovators,France,Sarah Moore,Musical Instruments
373.72,2001-02-24,Cat Litter Box,Global Corp,Kenya,Patricia Brown,Pet Supplies
907.1,2001-02-24,Noise Cancelling Headphones,Tech Trends,Brazil,Linda Miller,Audio Equipment
319.25,2001-02-25,Pet Bed,Gadget Galaxy,India,Patricia Brown,Pet Supplies
274.08,2001-02-25,Tablet Beta,Future Gadgets,France,Sandra Anderson,Mobile Devices
751.5,2001-02-25,Leather Office Chair,Elite Tech,USA,Sarah Moore,Office Furniture
258.12,2001-02-25,Desktop Beta,Future Gadgets,Germany,Patricia Brown,Computers
644.58,2001-02-26,Women's Sandals,Infinity Solutions,South Korea,William Wilson,Footwear
157.19,2001-02-26,Fitness Tracker,Infinity Solutions,Nigeria,John Smith,Wearables
985.45,2001-02-27,Camping Tent,Future Gadgets,Japan,Sarah Moore,Outdoor Gear
400.04,2001-02-27,Science Fiction Novel,Future Gadgets,South Korea,William Wilson,Books
983.29,2001-02-27,Stainless Steel Water Bottle,Nebula Innovations,Canada,Laura Adams,Outdoor Gear
200.25,2001-02-27,Gaming Console,SysTech Ltd.,Spain,Linda Miller,Video Games
388.92,2001-02-27,Notebook Basic,Elite Tech,China,Sandra Anderson,Computers
534.79,2001-02-27,Yoga Mat,Tech Trends,Brazil,William Wilson,Fitness Equipment
814.89,2001-02-27,Fitness Tracker,Tech Pioneers,France,Linda Miller,Wearables
189.95,2001-02-27,Dumbbell Set,Innovate Unlimited,Nigeria,Laura Adams,Fitness Equipment
77.59,2001-02-27,Notebook Professional,Ultra Tech,Mexico,Joseph Taylor,Computers
301.32,2001-02-27,Science Fiction Novel,Pinnacle Tech,Mexico,Robert Johnson,Books
843.54,2001-02-27,Video Game Controller,Tech Trends,Italy,Robert Johnson,Video Games
385.75,2001-02-27,Drone with Camera,SysTech Ltd.,France,Linda Miller,Electronics
494.92,2001-02-27,Monitor 4K,Future Gadgets,Canada,Robert Johnson,Monitors
793.94,2001-02-27,Air Purifier,Reboot IT,Kenya,Sandra Anderson,Home Appliances
425.06,2001-02-27,Wireless Mouse,Nebula Innovations,Spain,John Smith,Computer Accessories
96.46,2001-02-27,Sculpture,Elite Tech,Brazil,Patricia Brown,Art
259.33,2001-02-27,Biography Book,Tech Pioneers,China,John Smith,Books
337.54,2001-02-27,Robot Vacuum,Infinity Solutions,South Korea,Joseph Taylor,Home Appliances
748.21,2001-02-28,Electric Guitar,Nebula Innovations,Brazil,Linda Miller,Musical Instruments
717.18,2001-02-28,Yoga Mat,Global Corp,Japan,John Smith,Fitness Equipment
536.26,2001-02-28,Microwave Oven,Global Corp,Italy,Linda Miller,Kitchen Appliances
151.23,2001-02-28,Espresso Machine,Tech Pioneers,Japan,Patricia Brown,Kitchen Appliances
113.09,2001-02-28,Virtual Reality Headset,Tech Pioneers,USA,Robert Johnson,Electronics
471.39,2001-02-28,Landscape Painting,Tech Trends,Germany,John Smith,Art
686.3,2001-02-28,LED Desk Lamp,Elite Tech,Canada,Joseph Taylor,Lighting
499.03,2001-02-28,Electric Guitar,Innovate Unlimited,Nigeria,Joseph Taylor,Musical Instruments
921.81,2001-02-28,Tablet Beta,SysTech Ltd.,Japan,Patricia Brown,Mobile Devices
393.31,2001-02-28,Biography Book,Ultra Tech,South Africa,Laura Adams,Books
198.07,2001-02-28,Men's Sneakers,Elite Tech,Kenya,Michael Davis,Footwear
989.41,2001-02-28,Solid State Drive,Gadget Galaxy,Spain,Sandra Anderson,Storage Devices
600.62,2001-02-28,External Hard Drive,Innovate Unlimited,Italy,Laura Adams,Storage Devices
15.62,2001-02-28,Monitor 4K,Innovate Unlimited,Egypt,Patricia Brown,Monitors
140.76,2001-02-28,Desktop Alpha,SysTech Ltd.,USA,Laura Adams,Computers
419.79,2001-02-28,Monitor 4K,Future Gadgets,India,Sarah Moore,Monitors
283.08,2001-02-28,Wall Art,NextGen Innovators,Nigeria,Robert Johnson,Home Decor
332.83,2001-02-28,Tablet Beta,Reboot IT,China,Joseph Taylor,Mobile Devices
227.4,2001-02-28,Wall Art,Reboot IT,Germany,William Wilson,Home Decor
556.06,2001-02-28,Monitor HD,Elite Tech,Brazil,Patricia Brown,Monitors
193.45,2001-03-01,Camping Tent,Tech Trends,Mexico,Sarah Moore,Outdoor Gear
771.42,2001-03-01,Desktop Beta,Gadget Galaxy,Canada,Patricia Brown,Computers
474.4,2001-03-02,4K Television,Elite Tech,France,Patricia Brown,Home Electronics
907.14,2001-03-02,Espresso Machine,Infinity Solutions,Spain,Michael Davis,Kitchen Appliances
116.84,2001-03-03,Microwave Oven,Ultra Tech,Canada,Laura Adams,Kitchen Appliances
796.72,2001-03-03,Hiking Boots,Tech Trends,Spain,Michael Davis,Outdoor Gear
137.28,2001-03-04,Men's Sneakers,Tech Trends,USA,Joseph Taylor,Footwear
641.28,2001-03-04,Landscape Painting,Global Corp,USA,Joseph Taylor,Art
665.36,2001-03-04,Wristwatch,Elite Tech,Canada,John Smith,Fashion Accessories
901.7,2001-03-04,Bluetooth Speaker,SysTech Ltd.,Egypt,Sandra Anderson,Audio Equipment
127.82,2001-03-04,Solid State Drive,SysTech Ltd.,Brazil,William Wilson,Storage Devices
551.27,2001-03-04,Pet Bed,Elite Tech,France,Joseph Taylor,Pet Supplies
941.52,2001-03-05,Microwave Oven,NextGen Innovators,South Africa,William Wilson,Kitchen Appliances
764.41,2001-03-06,Leather Office Chair,Ultra Tech,China,Linda Miller,Office Furniture
366.37,2001-03-06,Decorative Throw Pillow,Gadget Galaxy,Egypt,Michael Davis,Home Decor
703.3,2001-03-06,Smartphone Alpha,NextGen Innovators,France,Joseph Taylor,Mobile Devices
359.34,2001-03-06,Men's Sneakers,Ultra Tech,USA,John Smith,Footwear
351.41,2001-03-06,Robot Vacuum,Pioneer Tech,Kenya,Joseph Taylor,Home Appliances
286.22,2001-03-07,Landscape Painting,Global Corp,France,William Wilson,Art
432.35,2001-03-07,Science Fiction Novel,Gadget Galaxy,Nigeria,Laura Adams,Books
542.47,2001-03-08,LED Desk Lamp,Global Corp,Kenya,Joseph Taylor,Lighting
217.98,2001-03-08,External Hard Drive,Pinnacle Tech,France,Sarah Moore,Storage Devices
891.92,2001-03-09,Notebook Professional,Tech Trends,South Korea,Michael Davis,Computers
291.38,2001-03-09,Camping Tent,Infinity Solutions,Egypt,Laura Adams,Outdoor Gear
360.92,2001-03-10,Espresso Machine,Elite Tech,USA,Sarah Moore,Kitchen Appliances
76.74,2001-03-10,Monitor 4K,Global Corp,Nigeria,Michael Davis,Monitors
12.86,2001-03-11,Ergonomic Desk,Tech Pioneers,Mexico,William Wilson,Office Furniture
380.75,2001-03-11,Children's Backpack,SysTech Ltd.,South Korea,Sandra Anderson,School Supplies
456.82,2001-03-11,Monitor 4K,Elite Tech,South Africa,Patricia Brown,Monitors
365.16,2001-03-11,Robot Vacuum,SysTech Ltd.,Canada,Sandra Anderson,Home Appliances
947.43,2001-03-11,Camping Tent,Reboot IT,Italy,Patricia Brown,Outdoor Gear
798.6,2001-03-11,Women's Sandals,Pioneer Tech,France,Michael Davis,Footwear
770.91,2001-03-11,Smartphone Beta,Tech Trends,USA,Michael Davis,Mobile Devices
365.98,2001-03-11,Monitor 4K,Tech Pioneers,South Africa,Joseph Taylor,Monitors
890.33,2001-03-11,Smart Watch,Future Gadgets,Italy,Joseph Taylor,Wearables
460.89,2001-03-11,Smartphone Alpha,Nebula Innovations,Egypt,Sandra Anderson,Mobile Devices
423.24,2001-03-12,Drone with Camera,Elite Tech,Japan,Laura Adams,Electronics
551.66,2001-03-12,LED Desk Lamp,Global Corp,Brazil,Michael Davis,Lighting
971.48,2001-03-12,Microwave Oven,SysTech Ltd.,Canada,Michael Davis,Kitchen Appliances
959.59,2001-03-12,Drone with Camera,Tech Trends,South Korea,Laura Adams,Electronics
715.34,2001-03-13,4K Television,Global Corp,South Africa,John Smith,Home Electronics
126.34,2001-03-14,Microwave Oven,Global Corp,Mexico,Linda Miller,Kitchen Appliances
911.35,2001-03-14,Gaming Console,Elite Tech,Japan,William Wilson,Video Games
689.78,2001-03-14,Smartphone Alpha,Pinnacle Tech,Italy,Robert Johnson,Mobile Devices
217.88,2001-03-15,Smartphone Beta,Elite Tech,Japan,Joseph Taylor,Mobile Devices
362.47,2001-03-15,Pet Bed,Reboot IT,India,Sandra Anderson,Pet Supplies
568.02,2001-03-15,Monitor HD,Nebula Innovations,India,Robert Johnson,Monitors
913.91,2001-03-15,Monitor HD,NextGen Innovators,Egypt,Laura Adams,Monitors
728.56,2001-03-15,Espresso Machine,Pinnacle Tech,Nigeria,Patricia Brown,Kitchen Appliances
922.91,2001-03-15,Biography Book,Nebula Innovations,Japan,Sandra Anderson,Books
752.8,2001-03-15,Smartphone Beta,Nebula Innovations,Egypt,Laura Adams,Mobile Devices
79.09,2001-03-15,Landscape Painting,Ultra Tech,Mexico,Michael Davis,Art
212.28,2001-03-15,Pet Bed,Infinity Solutions,France,Sarah Moore,Pet Supplies
187.04,2001-03-15,Smartphone Alpha,Infinity Solutions,Canada,Sandra Anderson,Mobile Devices
496.91,2001-03-16,Sculpture,Global Corp,South Korea,Joseph Taylor,Art
307.32,2001-03-16,Virtual Reality Headset,Global Corp,Egypt,Robert Johnson,Electronics
751,2001-03-16,LED Desk Lamp,Innovate Unlimited,Kenya,Laura Adams,Lighting
672.9,2001-03-16,Microwave Oven,Innovate Unlimited,Japan,Linda Miller,Kitchen Appliances
830.08,2001-03-16,Hiking Boots,Pinnacle Tech,South Africa,Sarah Moore,Outdoor Gear
256.91,2001-03-16,Dumbbell Set,Tech Trends,Spain,Patricia Brown,Fitness Equipment
343.98,2001-03-16,Leather Office Chair,Nebula Innovations,Brazil,Patricia Brown,Office Furniture
659.66,2001-03-16,Video Game Controller,NextGen Innovators,Italy,Sarah Moore,Video Games
592.04,2001-03-16,Bluetooth Speaker,Elite Tech,South Korea,Michael Davis,Audio Equipment
773.37,2001-03-16,Tablet Alpha,Nebula Innovations,Kenya,Laura Adams,Mobile Devices
771.57,2001-03-16,Notebook Basic,Pinnacle Tech,Nigeria,Linda Miller,Computers
719.8,2001-03-16,Acoustic Piano,Tech Trends,Egypt,Sarah Moore,Musical Instruments
632.23,2001-03-16,Cat Litter Box,Elite Tech,Japan,Joseph Taylor,Pet Supplies
773.36,2001-03-16,External Hard Drive,Pioneer Tech,South Africa,Michael Davis,Storage Devices
296.98,2001-03-16,Gaming Console,Tech Pioneers,Italy,Sandra Anderson,Video Games
972.37,2001-03-16,Notebook Professional,Innovate Unlimited,Egypt,John Smith,Computers
99.56,2001-03-16,Sunglasses,Global Corp,Kenya,Patricia Brown,Fashion Accessories
99.01,2001-03-16,Monitor 4K,Tech Trends,Egypt,Laura Adams,Monitors
811.78,2001-03-17,Smartphone Alpha,Nebula Innovations,Spain,Sarah Moore,Mobile Devices
752.09,2001-03-17,Ergonomic Desk,SysTech Ltd.,USA,Joseph Taylor,Office Furniture
100.32,2001-03-17,Decorative Throw Pillow,Elite Tech,Canada,Linda Miller,Home Decor
76.24,2001-03-17,Hiking Boots,Innovate Unlimited,China,Sandra Anderson,Outdoor Gear
375.41,2001-03-18,Notebook Professional,Ultra Tech,Spain,Joseph Taylor,Computers
615.28,2001-03-18,Hiking Boots,Elite Tech,Japan,John Smith,Outdoor Gear
689.66,2001-03-18,Fitness Tracker,Future Gadgets,USA,Linda Miller,Wearables
480.68,2001-03-18,Noise Cancelling Headphones,Infinity Solutions,China,Sandra Anderson,Audio Equipment
127.6,2001-03-19,USB Keyboard,Tech Pioneers,South Korea,Sarah Moore,Computer Accessories
909.55,2001-03-19,Noise Cancelling Headphones,Pinnacle Tech,Germany,Robert Johnson,Audio Equipment
565.47,2001-03-19,Pet Bed,Reboot IT,China,William Wilson,Pet Supplies
